ID,County_Soil,marginal_cost,marginal_qty
1,"MONTEREY COUNTY, CA",0.085249922,92123.108
2,"HOOD COUNTY, TX",0.122040111,10767.68
3,"SHELBY COUNTY, TX",0.238010864,1503.04
4,"NAVARRO COUNTY, TX",0.243267315,162993.6
5,"EASTLAND COUNTY, TX",0.260307803,102403.84
6,"CAVALIER COUNTY, ND",0.277868817,241970.652
7,"CHATTAHOOCHEE COUNTY, GA",0.327343505,1424.192
8,"BLAINE COUNTY, OK",0.372968502,660894.08
9,"HILL COUNTY, TX",0.388992604,424547.2
10,"MUSCOGEE COUNTY, GA",0.410082558,2911.216
11,"MERCER COUNTY, PA",0.415593505,196937.664
12,"JOHNSON COUNTY, TX",0.45909969,90428.8
13,"CLAYTON COUNTY, GA",0.598662932,41.888
14,"ROCKDALE COUNTY, GA",0.620886712,41.888
15,"TAYLOR COUNTY, TX",0.647311663,152817.28
16,"SOMERSET COUNTY, ME",0.692549401,64626.1
17,"DOUGLAS COUNTY, GA",0.712043175,41.888
18,"MARION COUNTY, TX",0.715174921,566.72
19,"SMITH COUNTY, TX",0.728260485,26734.4
20,"ROCKINGHAM COUNTY, NC",0.841843197,6490.176
21,"PENOBSCOT COUNTY, ME",0.984684165,91211.736
22,"WALSH COUNTY, ND",1.041731617,32386.816
23,"FULTON COUNTY, GA",1.09299039,41.888
24,"DE KALB COUNTY, GA",1.113915843,41.888
25,"HANCOCK COUNTY, ME",1.168088318,21107.24
26,"WASHINGTON COUNTY, ME",1.186259181,70057.064
27,"CADDO PARISH, LA",1.243191298,100443.728
28,"ELLIS COUNTY, TX",1.268031434,324311.68
29,"GLENN COUNTY, CA",1.427936546,158164.16
30,"MEADE COUNTY, SD",1.534499263,571.34
31,"COBB COUNTY, GA",1.568755685,62.832
32,"SAGADAHOC COUNTY, ME",1.600573216,2822.204
33,"UNION COUNTY, AR",1.648088205,1316.7
34,"STEPHENS COUNTY, TX",1.667107671,32229.12
35,"GWINNETT COUNTY, GA",1.669272112,62.832
36,"PAULDING COUNTY, GA",1.758105946,41.888
37,"NATCHITOCHES PARISH, LA",1.768936569,92976.576
38,"MONTOUR COUNTY, PA",1.790248439,51155.412
39,"WALDO COUNTY, ME",1.808709746,31139.108
40,"HENDERSON COUNTY, TX",1.822175414,61846.4
41,"PARKER COUNTY, TX",1.91990526,38290.56
42,"TARRANT COUNTY, TX",1.92380984,26709.76
43,"SEDGWICK COUNTY, KS",1.960748451,801884.16
44,"OUACHITA PARISH, LA",2.012981264,141829.072
45,"KENNEBEC COUNTY, ME",2.041097947,43756.02
46,"ACCOMACK COUNTY, VA",2.08862388,129157.336
47,"DALLAS COUNTY, TX",2.126846338,49575.68
48,"LINCOLN COUNTY, ME",2.127862472,11549.692
49,"FRANKLIN COUNTY, ME",2.135005716,12332.32
50,"ANDROSCOGGIN COUNTY, ME",2.225668928,19423.404
51,"COTTONWOOD COUNTY, MN",2.269779406,706926.528
52,"ORLEANS COUNTY, VT",2.340685677,67424.588
53,"KAUFMAN COUNTY, TX",2.367758445,98190.4
54,"FRANKLIN COUNTY, TN",2.38699848,65951.424
55,"WORCESTER COUNTY, MD",2.429623062,141015.336
56,"CUMBERLAND COUNTY, ME",2.448719137,18783.072
57,"DAY COUNTY, SD",2.482904842,313110.644
58,"HERTFORD COUNTY, NC",2.568154848,71894.592
